HAR Statistics Dataset							
DESCRIPTION	"Tables of experimental observations collected by wearable device. For collection methodology and processing see ""COLLECTION METHODOLOGY"" in the README.md file  "						
							
Column Number	Variable Name	Measurement of / Description	Direction 	Statistic used in Variable	Unit of Measurement*	Time Series	Frequency Domain Signal
26	tbodyangularvelocityjerkmeanx	Body angualr velocity jerk	along X-axis	Mean	distance / second squared	TRUE	FALSE
27	tbodyangularvelocityjerkmeany	Body angualr velocity jerk	along Y-axis	Mean	distance / second squared	TRUE	FALSE
28	tbodyangularvelocityjerkmeanz	Body angualr velocity jerk	along Z-axis	Mean	distance / second squared	TRUE	FALSE
29	tbodyangularvelocityjerkstdx	Body angualr velocity jerk	along X-axis	Standard deviation	distance / second squared	TRUE	FALSE
30	tbodyangularvelocityjerkstdy	Body angualr velocity jerk	along Y-axis	Standard deviation	distance / second squared	TRUE	FALSE
31	tbodyangularvelocityjerkstdz	Body angualr velocity jerk	along Z-axis	Standard deviation	distance / second squared	TRUE	FALSE
32	tbodylinearaccelmagnitudemean	Body linear acceleration magnitude		Mean	distance / second squared	TRUE	FALSE
33	tbodylinearaccelmagnitudestd	Body linear acceleration magnitude		Standard deviation	distance / second squared	TRUE	FALSE
34	tgravitylinearaccelmagnitudemean	Gravity linear acceleration magnitude		Mean	distance / second squared	TRUE	FALSE
35	tgravitylinearaccelmagnitudestd	Gravity linear acceleration magnitude		Standard deviation	distance / second squared	TRUE	FALSE
36	tbodylinearacceljerkmagnitudemean	Body linear acceleration jerk magnitude		Mean	distance / second squared	TRUE	FALSE
37	tbodylinearacceljerkmagnitudestd	Body linear acceleration jerk magnitude		Standard deviation	distance / second squared	TRUE	FALSE
38	tbodyangularvelocitymagnitudemean	Body angualr velocity magnitude		Mean	distance / second squared	TRUE	FALSE
39	tbodyangularvelocitymagnitudestd	Body angualr velocity magnitude		Standard deviation	distance / second squared	TRUE	FALSE
40	tbodyangularvelocityjerkmagnitudemean	Body angualr velocity jerk magnitude		Mean	distance / second squared	TRUE	FALSE
41	tbodyangularvelocityjerkmagnitudestd	Body angualr velocity jerk magnitude		Standard deviation	distance / second squared	TRUE	FALSE
42	fbodylinearaccelmeanx	Body linear acceleration	along X-axis	Mean	distance / second squared	FALSE	TRUE
43	fbodylinearaccelmeany	Body linear acceleration	along Y-axis	Mean	distance / second squared	FALSE	TRUE
44	fbodylinearaccelmeanz	Body linear acceleration	along Z-axis	Mean	distance / second squared	FALSE	TRUE
45	fbodylinearaccelstdx	Body linear acceleration	along X-axis	Standard deviation	distance / second squared	FALSE	TRUE
46	fbodylinearaccelstdy	Body linear acceleration	along Y-axis	Standard deviation	distance / second squared	FALSE	TRUE
47	fbodylinearaccelstdz	Body linear acceleration	along Z-axis	Standard deviation	distance / second squared	FALSE	TRUE
48	fbodylinearacceljerkmeanx	Body linear acceleration jerk	along X-axis	Mean	distance / second squared	FALSE	TRUE
49	fbodylinearacceljerkmeany	Body linear acceleration jerk	along Y-axis	Mean	distance / second squared	FALSE	TRUE
50	fbodylinearacceljerkmeanz	Body linear acceleration jerk	along Z-axis	Mean	distance / second squared	FALSE	TRUE
51	fbodylinearacceljerkstdx	Body linear acceleration jerk	along X-axis	Standard deviation	distance / second squared	FALSE	TRUE
52	fbodylinearacceljerkstdy	Body linear acceleration jerk	along Y-axis	Standard deviation	distance / second squared	FALSE	TRUE
53	fbodylinearacceljerkstdz	Body linear acceleration jerk	along Z-axis	Standard deviation	distance / second squared	FALSE	TRUE
54	fbodyangularvelocitymeanx	Body angualr velocity	along X-axis	Mean	distance / second squared	FALSE	TRUE
55	fbodyangularvelocitymeany	Body angualr velocity	along Y-axis	Mean	distance / second squared	FALSE	TRUE
56	fbodyangularvelocitymeanz	Body angualr velocity	along Z-axis	Mean	distance / second squared	FALSE	TRUE
57	fbodyangularvelocitystdx	Body angualr velocity	along X-axis	Standard deviation	distance / second squared	FALSE	TRUE
58	fbodyangularvelocitystdy	Body angualr velocity	along Y-axis	Standard deviation	distance / second squared	FALSE	TRUE
59	fbodyangularvelocitystdz	Body angualr velocity	along Z-axis	Standard deviation	distance / second squared	FALSE	TRUE
60	fbodylinearaccelmagnitudemean	Body linear acceleration magnitude		Mean	distance / second squared	FALSE	TRUE
61	fbodylinearaccelmagnitudestd	Body linear acceleration magnitude		Standard deviation	distance / second squared	FALSE	TRUE
62	fbodybodylinearacceljerkmagnitudemean	Body body linear acceleration jerk magnitude		Mean	distance / second squared	FALSE	TRUE
63	fbodybodylinearacceljerkmagnitudestd	Body body linear acceleration jerk magnitude		Standard deviation	distance / second squared	FALSE	TRUE
64	fbodybodyangularvelocitymagnitudemean	Body body angular velocity magnitude		Mean	distance / second squared	FALSE	TRUE
65	fbodybodyangularvelocitymagnitudestd	Body body angular velocity magnitude		Standard deviation	distance / second squared	FALSE	TRUE
66	fbodybodyangularvelocityjerkmagnitudemean	Body body angular velocity jerk magnitude		Mean	distance / second squared	FALSE	TRUE
67	fbodybodyangularvelocityjerkmagnitudestd	Body body angular velocity jerk magnitude		Standard deviation	distance / second squared	FALSE	TRUE
68	datasource	"Was data from the testing or training set. Values: ""TRAIN"", ""TEST"""					
69	activity	Subject identification key (join key)					
70	subject	Activity type key (join key)					
							
							
